electricity_load_kwh,heat_load_kwh,pv_generation_kwh,grid_import_kwh,grid_export_kwh,pv_to_building_kwh,pv_self_consumed_kwh,pv_exported_to_grid_kwh,pv_curtailed_kwh,timestamp
22.04255750447227,180.12598519226177,-0.0,22.042557504500003,0.0,-0.0,-0.0,0.0,0.0,2025-01-01 00:00:00
20.71417615384616,140.8824934320516,-0.0,20.7141761538,0.0,-0.0,-0.0,0.0,0.0,2025-01-01 01:00:00
18.86986976296959,134.64294244088845,-0.0,18.869869763,0.0,-0.0,-0.0,0.0,0.0,2025-01-01 02:00:00
16.9502267039356,147.94303797468356,-0.0,16.9502267039,0.0,-0.0,-0.0,0.0,0.0,2025-01-01 03:00:00
15.360672048300536,196.874253642226,-0.0,15.360672048299998,0.0,-0.0,-0.0,0.0,0.0,2025-01-01 04:00:00
14.309898179785334,292.10950561261046,-0.0,14.3098981798,0.0,-0.0,-0.0,0.0,0.0,2025-01-01 05:00:00
14.023242262969587,298.18485789347983,-0.0,14.023242263,0.0,-0.0,-0.0,0.0,0.0,2025-01-01 06:00:00
14.700409494633272,288.0045378552663,-0.0,14.700409494599999,0.0,-0.0,-0.0,0.0,0.0,2025-01-01 07:00:00
17.02918997763864,281.1081920229281,-0.0,17.0291899776,0.0,-0.0,-0.0,0.0,0.0,2025-01-01 08:00:00
21.246251417710194,266.4945068067829,0.421323284841,20.824928132859,0.0,0.421323284841,0.421323284841,0.0,0.0,2025-01-01 09:00:00
25.97472224060823,256.97098160974446,5.1530201156,20.821702125,0.0,5.1530201156,5.1530201156,0.0,0.0,2025-01-01 10:00:00
30.25534616726297,247.77585383329352,7.93361941739,22.32172674991,0.0,7.93361941739,7.93361941739,0.0,0.0,2025-01-01 11:00:00
32.889026578711984,243.34248865536185,9.32436420324,23.56466237546,0.0,9.32436420324,9.32436420324,0.0,0.0,2025-01-01 12:00:00
33.95630325134168,240.22271315978023,8.705336108740001,25.25096714256,0.0,8.705336108740001,8.705336108740001,0.0,0.0,2025-01-01 13:00:00
34.43777103756708,240.22271315978023,6.36787041003,28.069900627569996,0.0,6.36787041003,6.36787041003,0.0,0.0,2025-01-01 14:00:00
35.070179879248656,247.11905899211845,2.1888127778500004,32.88136710135,0.0,2.1888127778500004,2.1888127778500004,0.0,0.0,2025-01-01 15:00:00
39.09880615384616,260.090757105326,-0.0,39.0988061538,0.0,-0.0,-0.0,0.0,0.0,2025-01-01 16:00:00
46.048948255813954,272.8982565082398,-0.0,46.0489482558,0.0,-0.0,-0.0,0.0,0.0,2025-01-01 17:00:00
45.0083958273703,284.39216622880343,-0.0,45.0083958274,0.0,-0.0,-0.0,0.0,0.0,2025-01-01 18:00:00
39.65767163237925,291.7811081920229,-0.0,39.657671632399996,0.0,-0.0,-0.0,0.0,0.0,2025-01-01 19:00:00
35.79130131037567,288.82553140673514,-0.0,35.7913013104,0.0,-0.0,-0.0,0.0,0.0,2025-01-01 20:00:00
32.006062580500895,264.0315261523764,-0.0,32.0060625805,0.0,-0.0,-0.0,0.0,0.0,2025-01-01 21:00:00
27.58084596601073,223.31024599952235,-0.0,27.580845966,0.0,-0.0,-0.0,0.0,0.0,2025-01-01 22:00:00
23.04195763416816,164.19871029376642,-0.0,23.0419576342,0.0,-0.0,-0.0,0.0,0.0,2025-01-01 23:00:00
19.29145775044723,126.43300692620016,-0.0,19.2914577504,0.0,-0.0,-0.0,0.0,0.0,2025-01-02 00:00:00
16.721578470483003,138.9121089085264,-0.0,16.721578470500003,0.0,-0.0,-0.0,0.0,0.0,2025-01-02 01:00:00
15.083178501788908,132.0157630761882,-0.0,15.0831785018,0.0,-0.0,-0.0,0.0,0.0,2025-01-02 02:00:00
14.072642052772808,145.15165989968952,-0.0,14.072642052800001,0.0,-0.0,-0.0,0.0,0.0,2025-01-02 03:00:00
13.625521864937388,194.41127298781944,-0.0,13.6255218649,0.0,-0.0,-0.0,0.0,0.0,2025-01-02 04:00:00
14.218633403398927,288.33293527585386,-0.0,14.2186334034,0.0,-0.0,-0.0,0.0,0.0,2025-01-02 05:00:00
16.387611829159212,294.9008836876045,-0.0,16.3876118292,0.0,-0.0,-0.0,0.0,0.0,2025-01-02 06:00:00
19.29888584973166,284.8847623596848,-0.0,19.2988858497,0.0,-0.0,-0.0,0.0,0.0,2025-01-02 07:00:00
21.90501480322004,277.660019106759,-0.0,21.9050148032,0.0,-0.0,-0.0,0.0,0.0,2025-01-02 08:00:00
24.29557553667263,262.3895390494387,1.71652481191,22.579050724789997,0.0,1.71652481191,1.71652481191,0.0,0.0,2025-01-02 09:00:00
26.13948020125224,252.86601385240033,4.78103027666,21.358449924640002,0.0,4.78103027666,4.78103027666,0.0,0.0,2025-01-02 10:00:00
27.773341636851526,243.8350847862432,6.68924002692,21.084101609980003,0.0,6.68924002692,6.68924002692,0.0,0.0,2025-01-02 11:00:00
29.102006350626123,239.40171960831145,6.327835400520001,22.774170950080002,0.0,6.327835400520001,6.327835400520001,0.0,0.0,2025-01-02 12:00:00
29.719642231663688,235.9535466921424,6.2699321466699995,23.449710085030002,0.0,6.2699321466699995,6.2699321466699995,0.0,0.0,2025-01-02 13:00:00
30.355113018783538,235.9535466921424,4.6934819226,25.6616310962,0.0,4.6934819226,4.6934819226,0.0,0.0,2025-01-02 14:00:00
31.990616337209303,243.0140912347743,1.66319926688,30.327417070319996,0.0,1.66319926688,1.66319926688,0.0,0.0,2025-01-02 15:00:00
38.38270246422182,255.98578934798184,-0.0,38.3827024642,0.0,-0.0,-0.0,0.0,0.0,2025-01-02 16:00:00
50.41467853309481,268.9574874611894,-0.0,50.4146785331,0.0,-0.0,-0.0,0.0,0.0,2025-01-02 17:00:00
50.74021010286226,280.7797946023406,-0.0,50.7402101029,0.0,-0.0,-0.0,0.0,0.0,2025-01-02 18:00:00
43.31666720930233,288.6613326964414,-0.0,43.3166672093,0.0,-0.0,-0.0,0.0,0.0,2025-01-02 19:00:00
37.67769524597495,286.19835204203486,-0.0,37.677695246,0.0,-0.0,-0.0,0.0,0.0,2025-01-02 20:00:00
33.627537209302325,261.40434678767616,-0.0,33.6275372093,0.0,-0.0,-0.0,0.0,0.0,2025-01-02 21:00:00
28.560353707513418,220.84726534511583,-0.0,28.5603537075,0.0,-0.0,-0.0,0.0,0.0,2025-01-02 22:00:00
23.32203037567084,162.22832577024124,-0.0,23.3220303757,0.0,-0.0,-0.0,0.0,0.0,2025-01-02 23:00:00
19.435190460644005,137.27012180558873,-0.0,19.4351904606,0.0,-0.0,-0.0,0.0,0.0,2025-01-03 00:00:00
16.859053135062613,149.42082636732744,-0.0,16.859053135099998,0.0,-0.0,-0.0,0.0,0.0,2025-01-03 01:00:00
15.290031976744189,144.6590637688082,-0.0,15.2900319767,0.0,-0.0,-0.0,0.0,0.0,2025-01-03 02:00:00
14.371120411449017,158.28755672319082,-0.0,14.3711204114,0.0,-0.0,-0.0,0.0,0.0,2025-01-03 03:00:00
13.896730062611809,207.38297110102692,-0.0,13.8967300626,0.0,-0.0,-0.0,0.0,0.0,2025-01-03 04:00:00
14.629022052772813,308.2009792213996,-0.0,14.6290220528,0.0,-0.0,-0.0,0.0,0.0,2025-01-03 05:00:00
17.73937093470483,313.1269405302125,-0.0,17.7393709347,0.0,-0.0,-0.0,0.0,0.0,2025-01-03 06:00:00
21.10505229874776,302.7824217817053,-0.0,21.105052298700002,0.0,-0.0,-0.0,0.0,0.0,2025-01-03 07:00:00
22.596350635062613,296.3786720802484,-0.0,22.596350635100002,0.0,-0.0,-0.0,0.0,0.0,2025-01-03 08:00:00
23.444023966905185,282.75017912586577,2.3316278761,21.112396090799997,0.0,2.3316278761,2.3316278761,0.0,0.0,2025-01-03 09:00:00
24.00252417262969,273.0624552185336,6.504837708529999,17.497686464070004,0.0,6.504837708529999,6.504837708529999,0.0,0.0,2025-01-03 10:00:00
24.93530282200357,263.5389300214951,9.32959809841,15.605704723589998,0.0,9.32959809841,9.32959809841,0.0,0.0,2025-01-03 11:00:00
25.779009069767444,259.2697635538572,2.84768766467,22.93132140513,0.0,2.84768766467,2.84768766467,0.0,0.0,2025-01-03 12:00:00
