,electricity_demand,heat_demand
2025-01-01 00:00:00,140.9142370730171,195.60174957688585
2025-01-01 01:00:00,134.19878820825042,198.68684854563213
2025-01-01 02:00:00,134.60646259282433,190.87619096499952
2025-01-01 03:00:00,139.99039747597877,203.73124711802063
2025-01-01 04:00:00,138.1451828679233,185.10236138424344
2025-01-01 05:00:00,137.05718406139692,202.6997468241184
2025-01-01 06:00:00,141.55405644031708,195.28124514620785
2025-01-01 07:00:00,139.15398804068556,200.6045089657768
2025-01-01 08:00:00,138.83337685390742,197.49520686470217
2025-01-01 09:00:00,141.09983707181044,197.4905232040993
2025-01-01 10:00:00,137.71931624671467,198.615915611678
2025-01-01 11:00:00,143.63443186775334,199.97414635677453
2025-01-01 12:00:00,136.648897295633,194.36888603239584
2025-01-01 13:00:00,141.06792017372678,201.2711286273317
2025-01-01 14:00:00,143.48264584176746,190.758794207894
2025-01-01 15:00:00,135.1331907427354,196.23842434392105
2025-01-01 16:00:00,138.3189110994323,200.52876624835105
2025-01-01 17:00:00,142.85928175822593,201.40774747764868
2025-01-01 18:00:00,142.98803372284922,198.8202443209632
2025-01-01 19:00:00,139.0853453447781,194.6328699561641
2025-01-01 20:00:00,137.47923652384523,201.1667886967193
2025-01-01 21:00:00,142.6343545580756,193.4197158954896
2025-01-01 22:00:00,143.40036535554648,205.60676341654624
2025-01-01 23:00:00,136.43876668176406,196.5094022398029
2025-01-02 00:00:00,136.4039162444126,189.317528720282
2025-01-02 01:00:00,140.77418355739795,191.1249961713644
2025-01-02 02:00:00,142.06910166991597,197.39923795402723
2025-01-02 03:00:00,139.36626280282118,197.96259641514163
2025-01-02 04:00:00,142.38363994184718,207.1940419066556
2025-01-02 05:00:00,138.29746933466572,192.23538246710672
2025-01-02 06:00:00,134.16574540850164,197.7071372022425
2025-01-02 07:00:00,139.3198905563318,192.2944867379193
2025-01-02 08:00:00,140.86287245016698,195.20990174456068
2025-01-02 09:00:00,139.92704720381087,206.17442723384693
2025-01-02 10:00:00,137.35995138052238,192.15408005572087
2025-01-02 11:00:00,135.46980554063342,200.85196458860904
2025-01-02 12:00:00,139.45526876884605,199.96207197702168
2025-01-02 13:00:00,143.77107085054834,197.95724640380809
2025-01-02 14:00:00,144.927044085847,200.75563488356465
2025-01-02 15:00:00,144.801714284515,192.4384722223832
2025-01-02 16:00:00,138.87073629391602,206.6000774383795
2025-01-02 17:00:00,137.9369993853447,208.02234583185336
2025-01-02 18:00:00,142.96743265147572,198.7130522953326
2025-01-02 19:00:00,143.46199060624832,210.6722212245223
2025-01-02 20:00:00,142.83610680556887,196.64045833221775
2025-01-02 21:00:00,135.6720555965262,200.71640538852088
2025-01-02 22:00:00,139.19197348037778,205.9520725539008
2025-01-02 23:00:00,141.78167146122743,196.5757155309708
2025-01-03 00:00:00,143.41022620844956,192.04082633016108
2025-01-03 01:00:00,144.32804513419663,190.9675377182949
2025-01-03 02:00:00,142.53614711855923,209.4075193712264
2025-01-03 03:00:00,143.17270803486943,196.5352333620608
2025-01-03 04:00:00,142.51162410780657,198.3283439156308
2025-01-03 05:00:00,144.39025254386166,193.76957402960093
2025-01-03 06:00:00,143.34804817403423,204.15114761620745
2025-01-03 07:00:00,142.6824056689497,195.5773933926849
2025-01-03 08:00:00,141.75550701510173,197.10429827420725
2025-01-03 09:00:00,142.8795822723128,201.13331009426616
2025-01-03 10:00:00,144.16424520916885,194.3902414364232
2025-01-03 11:00:00,143.58732345914058,198.89198594487527
2025-01-03 12:00:00,144.00146058923218,206.8700292817128
2025-01-03 13:00:00,146.96088348404933,202.07398988758007
2025-01-03 14:00:00,143.80159348502767,200.65881317892968
2025-01-03 15:00:00,141.13213197532264,201.15345108406143
2025-01-03 16:00:00,145.80261049561128,198.206114657746
2025-01-03 17:00:00,139.1254893101861,210.2048459219675
2025-01-03 18:00:00,140.0517647813076,196.2352192708551
2025-01-03 19:00:00,144.37508858959373,201.4221776052532
2025-01-03 20:00:00,144.9878948261674,201.0138326545217
2025-01-03 21:00:00,139.7743202464761,205.5532864526537
2025-01-03 22:00:00,142.43139657416802,206.09571871109648
2025-01-03 23:00:00,141.8315735938983,200.48973106812196
2025-01-04 00:00:00,142.2593681644944,202.1727295987044
2025-01-04 01:00:00,146.61935349845007,202.43123393920095
2025-01-04 02:00:00,145.97682564468136,189.49660097618656
2025-01-04 03:00:00,143.86827293041188,192.9806914575841
2025-01-04 04:00:00,142.3556601496495,197.96822747738443
2025-01-04 05:00:00,140.01207477030954,198.2530303990856
2025-01-04 06:00:00,148.38862301076327,195.1316560845968
2025-01-04 07:00:00,145.9710160777047,204.9425872337181
2025-01-04 08:00:00,142.14083025290023,201.27142967020703
2025-01-04 09:00:00,146.48535152063286,200.253080290824
2025-01-04 10:00:00,144.18114520359097,195.11103969277792
2025-01-04 11:00:00,143.59529349610594,201.23389768946905
2025-01-04 12:00:00,145.82660081435213,188.38754244949027
2025-01-04 13:00:00,142.36034937055769,200.77006256626663
2025-01-04 14:00:00,143.61698155655824,201.96416945912736
2025-01-04 15:00:00,145.07556587209288,202.9207576011017
2025-01-04 16:00:00,143.27528073448894,193.9531254957482
2025-01-04 17:00:00,146.84285718079488,202.95968523344968
2025-01-04 18:00:00,150.50427946966502,196.68992360930756
2025-01-04 19:00:00,142.69517074478694,197.8957159811467
2025-01-04 20:00:00,140.02317685183615,205.6082096698616
2025-01-04 21:00:00,139.0733179250261,212.1491070442536
2025-01-04 22:00:00,144.68661348854087,202.3948117070392
2025-01-04 23:00:00,143.20749317357976,198.11150965075717
2025-01-05 00:00:00,145.87902280645446,203.1987935408032
2025-01-05 01:00:00,145.71116982679496,207.0085225982124
2025-01-05 02:00:00,140.56113878341662,205.47577715262256
2025-01-05 03:00:00,139.98302324674654,216.14323909750948
2025-01-05 04:00:00,146.3718286995553,198.90734113304367
2025-01-05 05:00:00,145.94613452738736,203.801005422824
2025-01-05 06:00:00,144.31767388248554,210.3397176446762
2025-01-05 07:00:00,140.67843383301482,210.0806607735044
2025-01-05 08:00:00,147.11822802966503,192.95366460874817
2025-01-05 09:00:00,149.57339159751626,202.74090486104453
2025-01-05 10:00:00,146.64472423287413,210.23338074146085
2025-01-05 11:00:00,143.32088062644902,217.3165172501399
2025-01-05 12:00:00,146.04892185953784,206.43424478157849
2025-01-05 13:00:00,141.868320147469,201.12734592178765
2025-01-05 14:00:00,149.1913718464884,197.97147394278508
2025-01-05 15:00:00,146.31327667575093,214.16146045981657
2025-01-05 16:00:00,140.81294996281463,206.7611286304031
